;Simulation User;Behavior Type;Simulation Type;Count Error Log Entries
0;SimUser001;copy_local_to_local_1000_files_each_10MB_delete_files_after_copy_included;Hardware;7
1;SimUser001;copy_net_to_local_1000_files_each_200KB_delete_files_after_copy_included;Hardware;6
2;SimUser004;encrypt_decrypt_1GB_1_file;Software;4
3;SimUser004;encrypt_delete_1GB_1_file;Software;4
4;SimUser004;copy_local_to_local_1000_files_each_10MB_delete_files_after_copy_included;Software;4
5;SimUser004;encrypt_encrypt_1GB_1_file;Software;4
6;SimUser004;encrypt_copy_1GB_1_file;Software;3
7;SimUser002;copy_net_to_local_1000_files_each_200KB_delete_files_after_copy_included;Hardware;3
8;SimUser004;encrypt_copy_10MB_1000_files;Software;3
9;SimUser004;encrypt_delete_10MB_1000_files;Software;3
10;SimUser002;copy_local_to_local_1000_files_each_10MB_delete_files_after_copy_included;Hardware;3
11;SimUser001;copy_local_to_local_1000_files_each_200KB_delete_files_after_copy_included;Hardware;3
12;SimUser004;encrypt_encrypt_10MB_1000_files;Software;3
13;SimUser004;encrypt_decrypt_10MB_1000_files;Software;3
14;SimUser003;encrypt_decrypt_1GB_1_file;Software;2
15;SimUser003;encrypt_copy_10MB_1000_files;Software;2
16;SimUser003;encrypt_copy_10MB_100_files;Software;2
17;SimUser003;encrypt_encrypt_1GB_1_file;Software;2
18;SimUser003;encrypt_encrypt_10MB_10_files;Software;2
19;SimUser003;encrypt_encrypt_10MB_100_files;Software;2
20;SimUser003;encrypt_copy_10MB_10_files;Software;2
21;SimUser003;encrypt_encrypt_10MB_1000_files;Software;2
22;SimUser003;encrypt_copy_1GB_1_file;Software;2
23;SimUser003;encrypt_delete_1GB_1_file;Software;2
24;SimUser003;encrypt_delete_10MB_10_files;Software;2
25;SimUser003;encrypt_decrypt_10MB_10_files;Software;2
26;SimUser003;encrypt_delete_10MB_100_files;Software;2
27;SimUser003;encrypt_delete_10MB_1000_files;Software;2
28;SimUser003;encrypt_delete_200KB_1000_files;Software;2
29;SimUser004;copy_net_to_local_1000_files_each_200KB_delete_files_after_copy_included;Hardware;2
30;SimUser004;encrypt_decrypt_10MB_10_files;Software;2
31;SimUser004;encrypt_decrypt_10MB_100_files;Software;2
32;SimUser004;encrypt_encrypt_10MB_10_files;Software;2
33;SimUser004;encrypt_encrypt_10MB_100_files;Software;2
34;SimUser001;copy_net_to_local_1000_files_each_10MB_delete_files_after_copy_included;Hardware;2
35;SimUser004;encrypt_delete_10MB_10_files;Software;2
36;SimUser004;encrypt_delete_10MB_100_files;Software;2
37;SimUser001;copy_local_to_local_1000_files_each_10MB_delete_files_after_copy_included;Software;2
38;SimUser003;encrypt_decrypt_10MB_100_files;Software;2
39;SimUser004;encrypt_copy_10MB_10_files;Software;2
40;SimUser004;encrypt_copy_10MB_100_files;Software;2
41;SimUser004;copy_net_to_local_1000_files_each_200KB_delete_files_after_copy_included;Software;2
42;SimUser003;encrypt_decrypt_10MB_1000_files;Software;2
43;SimUser004;copy_net_to_local_1000_files_each_10MB_delete_files_after_copy_included;Hardware;2
44;SimUser003;copy_local_to_local_10_files_each_200KB_delete_files_after_copy_included;Software;1
45;SimUser003;copy_net_to_local_1000_files_each_200KB_delete_files_after_copy_included;Software;1
46;SimUser003;copy_local_to_local_10_files_each_10MB_delete_files_after_copy_included;Software;1
47;SimUser003;encrypt_copy_200KB_1000_files;Software;1
48;SimUser003;encrypt_copy_200KB_100_files;Software;1
49;SimUser003;copy_local_to_local_1_files_each_1GB_delete_files_after_copy_included;Software;1
50;SimUser003;copy_net_to_local_1000_files_each_200KB_delete_files_after_copy_included;Hardware;1
51;SimUser003;encrypt_encrypt_200KB_1000_files;Software;1
52;SimUser003;encrypt_decrypt_10MB_100_files;Hardware;1
53;SimUser003;encrypt_decrypt_200KB_1000_files;Software;1
54;SimUser003;encrypt_decrypt_200KB_100_files;Software;1
55;SimUser003;encrypt_delete_200KB_100_files;Software;1
56;SimUser003;encrypt_delete_200KB_10_files;Software;1
57;SimUser003;copy_local_to_local_100_files_each_10MB_delete_files_after_copy_included;Software;1
58;SimUser003;encrypt_encrypt_200KB_100_files;Software;1
59;SimUser004;copy_local_to_local_100_files_each_10MB_delete_files_after_copy_included;Software;1
60;SimUser004;copy_local_to_local_100_files_each_200KB_delete_files_after_copy_included;Software;1
61;SimUser004;copy_local_to_local_10_files_each_10MB_delete_files_after_copy_included;Software;1
62;SimUser004;copy_local_to_local_10_files_each_200KB_delete_files_after_copy_included;Software;1
63;SimUser004;copy_local_to_local_1_files_each_1GB_delete_files_after_copy_included;Software;1
64;SimUser004;encrypt_copy_200KB_1000_files;Software;1
65;SimUser004;encrypt_decrypt_200KB_1000_files;Software;1
66;SimUser004;encrypt_delete_200KB_1000_files;Software;1
67;SimUser003;copy_local_to_local_100_files_each_200KB_delete_files_after_copy_included;Software;1
68;SimUser002;encrypt_copy_10MB_1000_files;Software;1
69;SimUser003;copy_local_to_local_1000_files_each_200KB_delete_files_after_copy_included;Software;1
70;SimUser001;encrypt_decrypt_200KB_100_files;Hardware;1
71;SimUser001;encrypt_decrypt_200KB_1000_files;Hardware;1
72;SimUser001;encrypt_decrypt_1GB_1_file;Software;1
73;SimUser001;encrypt_decrypt_1GB_1_file;Hardware;1
74;SimUser001;encrypt_decrypt_10MB_10_files;Software;1
75;SimUser001;encrypt_decrypt_10MB_10_files;Hardware;1
76;SimUser001;encrypt_decrypt_10MB_100_files;Software;1
77;SimUser001;encrypt_decrypt_10MB_100_files;Hardware;1
78;SimUser001;encrypt_decrypt_10MB_1000_files;Software;1
79;SimUser001;encrypt_decrypt_10MB_1000_files;Hardware;1
80;SimUser001;encrypt_copy_200KB_10_files;Hardware;1
81;SimUser001;encrypt_copy_200KB_100_files;Hardware;1
82;SimUser001;encrypt_copy_200KB_1000_files;Software;1
83;SimUser001;encrypt_copy_200KB_1000_files;Hardware;1
84;SimUser001;encrypt_copy_1GB_1_file;Software;1
85;SimUser001;encrypt_copy_1GB_1_file;Hardware;1
86;SimUser001;encrypt_copy_10MB_10_files;Software;1
87;SimUser001;encrypt_copy_10MB_10_files;Hardware;1
88;SimUser001;encrypt_copy_10MB_100_files;Software;1
89;SimUser001;encrypt_copy_10MB_100_files;Hardware;1
90;SimUser001;encrypt_copy_10MB_1000_files;Software;1
91;SimUser001;encrypt_copy_10MB_1000_files;Hardware;1
92;SimUser001;copy_net_to_local_1000_files_each_200KB_delete_files_after_copy_included;Software;1
93;SimUser001;copy_local_to_local_1_files_each_1GB_delete_files_after_copy_included;Hardware;1
94;SimUser001;copy_local_to_local_10_files_each_200KB_delete_files_after_copy_included;Hardware;1
95;SimUser001;copy_local_to_local_10_files_each_10MB_delete_files_after_copy_included;Hardware;1
96;SimUser001;copy_local_to_local_100_files_each_200KB_delete_files_after_copy_included;Hardware;1
97;SimUser001;copy_local_to_local_100_files_each_10MB_delete_files_after_copy_included;Hardware;1
98;SimUser001;encrypt_decrypt_200KB_1000_files;Software;1
99;SimUser001;encrypt_decrypt_200KB_100_files;Software;1
100;SimUser003;copy_local_to_local_1000_files_each_10MB_delete_files_after_copy_included;Hardware;1
101;SimUser001;encrypt_decrypt_200KB_10_files;Hardware;1
102;SimUser002;copy_net_to_local_1000_files_each_200KB_delete_files_after_copy_included;Software;1
103;SimUser002;copy_local_to_local_1000_files_each_200KB_delete_files_after_copy_included;Hardware;1
104;SimUser001;encrypt_encrypt_200KB_10_files;Hardware;1
105;SimUser001;encrypt_encrypt_200KB_100_files;Hardware;1
106;SimUser001;encrypt_encrypt_200KB_1000_files;Software;1
107;SimUser001;encrypt_encrypt_200KB_1000_files;Hardware;1
108;SimUser001;encrypt_encrypt_1GB_1_file;Software;1
109;SimUser001;encrypt_encrypt_1GB_1_file;Hardware;1
110;SimUser001;encrypt_encrypt_10MB_10_files;Software;1
111;SimUser001;encrypt_encrypt_10MB_10_files;Hardware;1
112;SimUser001;encrypt_encrypt_10MB_100_files;Software;1
113;SimUser001;encrypt_encrypt_10MB_100_files;Hardware;1
114;SimUser001;encrypt_encrypt_10MB_1000_files;Software;1
115;SimUser001;encrypt_encrypt_10MB_1000_files;Hardware;1
116;SimUser001;encrypt_delete_200KB_10_files;Hardware;1
117;SimUser001;encrypt_delete_200KB_100_files;Software;1
118;SimUser001;encrypt_delete_200KB_100_files;Hardware;1
119;SimUser001;encrypt_delete_200KB_1000_files;Software;1
120;SimUser001;encrypt_delete_200KB_1000_files;Hardware;1
121;SimUser001;encrypt_delete_1GB_1_file;Software;1
122;SimUser001;encrypt_delete_1GB_1_file;Hardware;1
123;SimUser001;encrypt_delete_10MB_10_files;Software;1
124;SimUser001;encrypt_delete_10MB_10_files;Hardware;1
125;SimUser001;encrypt_delete_10MB_100_files;Software;1
126;SimUser001;encrypt_delete_10MB_100_files;Hardware;1
127;SimUser001;encrypt_delete_10MB_1000_files;Software;1
128;SimUser001;encrypt_delete_10MB_1000_files;Hardware;1
129;SimUser004;encrypt_encrypt_200KB_1000_files;Software;1
